today,region,district,hh_id,shed,w1resp,applies,a13,b01,b02.1,b02.2,b02.3,b02.4,b02.5,b02.6,b02.7,b02.99,b03,b04,b05,b06,b07,b08,b09,b10,b11,b12,b13,b14,b14a,b15,b16,c01,c03,c04,c04a,c05_dry,c05_rain,c05,c05a,c06,c06b,c06a,c07a,c07.1,c07.4,c07.5,c07.6,c07.7,c07.8,c07.99,c08,d01,d02,d03,d04,d05,d06a,d06,d07,d08.1,d08.2,d08.3,d08.4,d08.5,d08.99,d08a,e01,e02,e02a,e03,e04,e04a,e05,e06,e07,e08,e09,e10,e11,e12.1,e12.2,e12.3,e12.4,e12.5,e12.99,e12a,e13,e14,e15,e16,e17.1,e17.2,e17.3,e17.4,e17.5,e17.99,e17a,e181,e181a,e18,e18a,e182,e183,e19a,e19,e20,e21,e22,e23,e24,f01_dry,f01_rain,f01,f02,f02b,f02a,f03,f04,f04_other,f05a,f05,f06,f06a,f06b,f06c,f06d,f07,f08a,f08,f09,f10,f11.f11aa,f11.f11a,f11.f11bb,f11.f11b,f11.f11cc,f11.f11c,f11.f11dd,f11.f11d,f11.f11ee,f11.f11e,f12a,f12,f13a,f13b,f13c.1,f13c.2,f13c.3,f13c.99,f13d,f13,f14a,f14,g01a,g01,g02a,g02,g03a,g03,g04a,g04,g05a,g05,g06a,g06,g07a,g07,g08a,g08,g09a,g09b,g09c.1,g09c.2,g09c.3,g09c.4,g09c.5,g09c.6,g09c.7,g09c.99,g09d,g09,g10,g11.1,g11.2,g11.3,g11.4,g11.5,g11.6,g11.7,g11.99,g11a,g12a,g12b.1,g12b.2,g12b.3,g12b.99,g12c,g12,g13.1,g13.2,g13.3,g13.99,g13a,g16,g17,g18,g19,g14,g15
5/20/2021,Western,KIBOGA,F_419,C,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,2,NA,NA,NA,Liters,5,912.5,Liters,4,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2,1,0,0,1,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4,5,NA,3,NA,2,NA,3,2,NA,NA,NA,3,912.5,Liters,4,2,NA,NA,3,NA,NA,4,4,4,4,NA,2,2,NA,NA,2,NA,2,NA,2,NA,2,NA,1,NA,4,3,NA,NA,NA,NA,NA,NA,3,NA,98,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,None,5,TRUE,FALSE,FALSE,FALSE,NA,Dairy farming,Crop farming,2,Crop farming,1,3
5/20/2021,Western,MASINDI,F_1341,C,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,80,2,NA,NA,NA,Liters,70,12775,Liters,4,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,2,0,0,0,0,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,99,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4,2,NA,2,NA,2,NA,3,2,NA,NA,NA,60,12775,Liters,4,1,NA,NA,4,NA,NA,3,3,2,1,NA,2,2,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,2,NA,NA,NA,NA,NA,NA,4,NA,0,NA,2,NA,1,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,None ,4,NA,NA,NA,NA,NA,Dairy farming,Dairy farming,NA,Dairy farming,3,5
5/20/2021,Western,MASINDI,F_1330,C,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,150,2,NA,NA,NA,Liters,100,18250,Liters,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,1,1,0,0,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,3,1,62,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,2,NA,2,NA,2,NA,2,2,NA,NA,NA,80,18250,Liters,2,1,NA,NA,5,NA,NA,2,3,2,1,NA,2,2,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,3,NA,NA,NA,NA,NA,NA,2,NA,0,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,None ,4,NA,NA,NA,NA,NA,Dairy farming,Dairy farming,NA,Dairy farming,5,5
5/18/2021,Western,KYANKWANZI,F_646,C,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,20,2,NA,NA,NA,Liters,5,912.5,Liters,5,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,0,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,3,NA,3,NA,2,NA,2,2,NA,NA,NA,0,912.5,Liters,5,1,NA,NA,5,NA,NA,3,3,3,6,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,1,5,2,TRUE,FALSE,FALSE,FALSE,NA,5,NA,0,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,NA,4,NA,NA,NA,NA,NA,Dairy farming,Dairy farming,NA,Dairy farming,3,3
5/24/2021,Western,KYANKWANZI,F_650,C,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,200,2,NA,NA,NA,Liters,100,18250,Liters,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,5,5,0,0,0,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,99,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4,3,NA,3,NA,1,1,NA,2,NA,NA,NA,80,18250,Liters,2,1,NA,NA,5,NA,NA,2,2,1,2,NA,1,1,1,NA,2,NA,2,NA,2,NA,2,NA,2,NA,3,3,NA,NA,NA,NA,NA,NA,1,NA,0,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,NA,4,NA,NA,NA,NA,NA,Dairy farming,Dairy farming,NA,Dairy farming,3,4
5/20/2021,Western,NAKASEKE,F_1361,C,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/24/2021,Western,KIBOGA,F_438,C,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,13,2,NA,NA,NA,Liters,3,547.5,Liters,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,1,1,0,0,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,99,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,5,3,NA,3,NA,1,1,NA,2,NA,NA,NA,0,547.5,Liters,2,99,Incase the disease attack in the cattle reduces,NA,99,NA,NA,4,99,99,1,NA,2,2,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,4,3,NA,NA,NA,NA,NA,NA,4,NA,98,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,NA,4,NA,NA,NA,NA,NA,Dairy farming,Dairy farming,NA,Dairy farming,5,4
5/18/2021,Western,KIRUHURA,F_281,SW,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,8,2,NA,NA,NA,Liters,20,3650,Liters,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,2,2,0,0,0,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,99,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,3,NA,4,3,2,NA,2,2,NA,NA,NA,15,3650,Liters,4,2,NA,NA,4,NA,NA,2,2,4,1,NA,2,2,NA,NA,2,NA,1,NA,2,NA,2,NA,2,NA,4,4,2,TRUE,TRUE,TRUE,FALSE,NA,4,NA,0,NA,2,NA,2,NA,1,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,None ,4,NA,NA,NA,NA,NA,Crop farming,Dairy farming,2,Dairy farming,3,5
5/18/2021,Western,KIBOGA,F_423,C,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/31/2021,Western,KYANKWANZI,F_707,C,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/31/2021,Western,NAKASEKE,F_1417,C,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/17/2021,Western,KIRUHURA,F_164,SW,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6,2,NA,NA,NA,Liters,20,3650,Liters,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4,3,NA,3,NA,2,NA,3,2,NA,NA,NA,10,3650,Liters,2,1,NA,NA,4,NA,NA,3,3,3,3,NA,2,2,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,3,3,NA,NA,NA,NA,NA,NA,4,NA,99,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,NA,4,NA,NA,NA,NA,NA,Dairy farming,Dairy farming,NA,Dairy farming,5,4
5/30/2021,Western,KIBOGA,F_371,C,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/31/2021,Western,KYANKWANZI,F_761,C,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/21/2021,Western,MASINDI,F_1325,C,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,80,2,NA,NA,NA,Liters,60,10950,Liters,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,6,2,0,4,0,3,4,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,1,3,NA,3,1,23,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4,5,NA,3,NA,2,NA,3,2,NA,NA,NA,50,10950,Liters,3,NA,NA,NA,4,NA,NA,3,2,2,1,NA,1,2,NA,NA,2,NA,1,NA,2,NA,2,NA,1,NA,2,3,NA,NA,NA,NA,NA,NA,4,NA,0,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,None,4,NA,NA,NA,NA,NA,Dairy farming,Dairy farming,NA,Dairy farming,4,4
5/19/2021,Western,MASINDI,F_599,C,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,50,2,NA,NA,NA,Liters,70,12775,Liters,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,2,0,0,0,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,1,550,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,3,NA,2,NA,1,4,NA,1,NA,NA,NA,60,12775,Liters,2,99,Weather changes and proper feeding,NA,4,NA,NA,2,3,2,2,NA,1,1,1,NA,2,NA,1,NA,1,NA,1,NA,1,NA,2,2,NA,NA,NA,NA,NA,NA,99,NA,0,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,NA,4,NA,NA,NA,NA,NA,Dairy farming,Dairy farming,NA,Dairy farming,4,3
5/21/2021,Western,MASINDI,F_815,C,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,2,NA,NA,NA,Liters,10,1825,Liters,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,NA,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,1,20,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,3,NA,2,NA,2,NA,2,2,NA,NA,NA,18,1825,Liters,4,99,Cow was injured,NA,4,NA,NA,1,1,1,4,NA,2,2,NA,NA,2,NA,2,NA,2,NA,1,NA,1,NA,2,5,1,TRUE,FALSE,FALSE,FALSE,NA,99,NA,0,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,NA,4,NA,NA,NA,NA,NA,Dairy farming,Dairy farming,NA,Dairy farming,4,3
5/19/2021,Western,KIRUHURA,F_334,SW,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,10,2,NA,NA,NA,Liters,30,5475,Liters,4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,1,0,0,1,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,4,1,25,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,5,5,NA,2,NA,2,NA,1,1,NA,NA,NA,20,5475,Liters,4,1,NA,NA,4,NA,NA,3,3,4,2,NA,1,1,2,NA,2,NA,1,NA,1,NA,1,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,1,NA,99,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,NA,4,NA,NA,NA,NA,NA,Crop farming,Crop farming,NA,Crop farming,5,4
5/19/2021,Western,MASINDI,F_1031,C,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,8,2,NA,NA,NA,Liters,40,7300,Liters,2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,6,6,0,0,0,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,99,2,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,3,NA,3,NA,1,1,NA,2,NA,NA,NA,35,7300,Liters,3,NA,NA,NA,2,NA,NA,1,4,1,4,NA,1,1,1,NA,2,NA,2,NA,2,NA,2,NA,2,NA,3,2,NA,NA,NA,NA,NA,NA,4,NA,0,NA,1,NA,2,NA,1,NA,2,NA,2,NA,2,NA,99,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,TRUE,NA,4,NA,NA,NA,NA,NA,Crop farming,Crop farming,NA,Dairy farming,5,3
5/17/2021,Western,KYANKWANZI,F_639,C,1,2,2,1/1/2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Sold cow because it was sick. Says he has 2 young bulls now and his waiting for them to mature and sell them when they can fetch more money to buy a cow.,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12/1/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
